,Mean,Standard Deviation,Stage Number,Rank,Best Rank
175,81.0,33.81567683782183,16,17,6
176,84.4375,30.54907680683657,16,18,9
177,73.5625,39.40172704019457,16,19,7
178,79.125,36.44323496892119,16,20,9
179,80.625,32.39188748745587,16,21,8
180,83.4375,31.29889924182638,16,22,11
181,76.0625,34.63644891945478,16,23,8
182,100.0,0.0,16,24,100
183,44.6,46.745837604361455,15,1,1
184,41.46666666666667,47.80218498027981,15,2,1
185,43.733333333333334,46.05716255070673,15,3,2
186,45.666666666666664,45.14519784970366,15,4,1
187,46.4,44.89662199616655,15,5,2
188,47.333333333333336,43.902417043053816,15,6,2
189,93.6,23.946607275353234,15,7,4
190,45.93333333333333,44.64297879348504,15,8,4
191,53.86666666666667,41.33741915289612,15,9,3
192,49.53333333333333,42.947823641664954,15,10,5
193,68.2,39.92526351405418,15,11,4
194,58.8,37.07865513562576,15,12,8
195,55.8,37.51124275911601,15,13,7
196,61.666666666666664,43.531852961047065,15,14,6
197,49.2,42.104948244436386,15,15,4
198,78.4,36.452343317451266,15,16,5
199,93.8,23.19827579799843,15,17,7
200,93.8,23.198275797998434,15,18,7
201,82.73333333333333,34.60340381458962,15,19,8
202,76.06666666666666,36.94945496515778,15,20,8
203,78.4,36.2358938071079,15,21,8
204,29.25,41.72953590284305,12,1,1
205,29.0,41.924535378065514,12,2,1
206,29.583333333333332,41.00906065195295,12,3,2
207,34.916666666666664,39.5420837701921,12,4,1
208,46.083333333333336,41.855820649250475,12,5,3
209,32.416666666666664,39.73759415073953,12,6,3
210,33.25,39.81650620869022,12,7,5
211,37.5,37.8714932369982,12,8,2
212,56.0,44.8516071804196,12,9,4
213,46.0,35.14256678161116,12,10,5
214,60.833333333333336,42.1027183075973,12,11,6
215,54.5,45.54393483220351,12,12,6
216,55.833333333333336,40.130689281673476,12,13,5
217,92.08333333333333,26.256612923646916,12,14,5
218,92.08333333333333,26.256612923646916,12,15,5
219,100.0,0.0,12,17,100
220,100.0,0.0,12,16,100
221,65.16666666666667,41.83864508109962,12,18,8
222,78.91666666666667,36.82267945468149,12,19,8
223,92.33333333333333,25.427456726058068,12,20,8
224,31.923076923076923,45.38969984557076,13,1,1
225,37.07692307692308,43.8431847847645,13,2,1
226,36.30769230769231,43.462423408281204,13,3,2
227,33.07692307692308,44.63262266456185,13,4,1
228,36.30769230769231,43.18722142803999,13,5,2
229,49.15384615384615,44.42252746912946,13,6,1
230,36.0,42.74791942755361,13,7,5
231,47.38461538461539,39.11037332697232,13,8,6
232,64.38461538461539,45.05473331496748,13,9,6
233,60.38461538461539,43.2817930482028,13,10,5
234,72.15384615384616,41.82168402202224,13,11,7
235,76.46153846153847,37.628989202506716,13,12,8
236,59.38461538461539,43.92745498859623,13,13,7
237,77.6923076923077,35.83806445534309,13,14,8
238,65.76923076923077,43.32374343892885,13,15,8
239,92.92307692307692,24.515180660974874,13,16,8
240,66.0,43.02056753192862,13,17,9
241,67.38461538461539,38.23316816494539,13,18,9
242,81.3076923076923,29.839015799877274,13,19,18
243,89.6923076923077,25.941901405269242,13,20,9
244,93.0,24.24871130596428,13,21,9
245,67.0,41.844032751672934,13,22,10
246,93.15384615384616,23.715772595943086,13,23,11
247,67.46153846153847,41.25831456458273,13,24,10
248,82.15384615384616,32.88639221470498,13,25,10
249,32.23076923076923,45.19726650371994,13,1,1
250,32.76923076923077,44.82985585891796,13,2,1
251,33.53846153846154,44.510353825072386,13,3,1
252,35.46153846153846,43.26770937496245,13,4,2
253,35.38461538461539,43.382978692532014,13,5,3
254,40.61538461538461,41.45904088381588,13,6,2
255,37.0,42.153565411754634,13,7,5
256,83.07692307692308,34.376784515272334,13,8,3
257,47.53846153846154,42.52350550824872,13,9,5
258,57.15384615384615,46.28481417990828,13,10,6
259,89.61538461538461,20.05967428809298,13,11,40
260,47.30769230769231,42.08669553229859,13,12,9
261,60.23076923076923,43.54865333280228,13,13,6
262,66.07692307692308,42.935482078367016,13,14,8
263,67.92307692307692,41.29343687553851,13,15,7
264,65.6923076923077,43.4925008839006,13,16,8
265,78.6923076923077,34.04382834701042,13,17,14
266,79.92307692307692,36.71399133522959,13,18,9
267,60.46153846153846,43.00199527502342,13,19,7
268,79.76923076923077,36.98056422200065,13,20,7
269,82.23076923076923,32.45862181574435,13,21,20
270,69.76923076923077,39.01509342283956,13,22,12
271,70.76923076923077,37.92939563523835,13,23,8
272,88.07692307692308,26.638495968346664,13,24,20
273,79.92307692307692,35.79312684013626,13,25,11
274,90.46153846153847,22.383425820890103,13,26,36
275,93.6923076923077,21.850487110868915,13,27,18
276,65.92307692307692,37.71851522173884,13,28,10
277,64.92307692307692,38.31942977426532,13,29,10
278,41.76923076923077,46.67589370600672,13,1,1
279,42.23076923076923,46.313569777789,13,2,2
280,53.92307692307692,44.59813990336633,13,3,1
281,55.38461538461539,48.19757169360053,13,4,1
282,41.30769230769231,46.44497921922838,13,5,3
283,47.84615384615385,42.78002077506266,13,6,2
284,48.53846153846154,42.786797720460434,13,7,5
285,50.92307692307692,40.624853208656056,13,8,5
286,60.0,44.21973106413714,13,9,4
287,54.30769230769231,44.13856610438857,13,10,6
288,61.69230769230769,42.665757510037544,13,11,2
289,65.23076923076923,44.13467823022172,13,12,4
290,82.07692307692308,33.39613413477567,13,13,5
291,75.3076923076923,37.462565141514915,13,14,7
292,53.84615384615385,43.052465584440206,13,15,7
293,93.3076923076923,23.182833885921895,13,16,13
294,78.38461538461539,33.694415107958996,13,17,14
295,92.76923076923077,25.04811937099607,13,18,6
296,92.76923076923077,25.04811937099607,13,19,6
297,86.15384615384616,32.49342218368359,13,20,7
298,92.84615384615384,24.781650015985473,13,21,7
299,92.84615384615384,24.781650015985473,13,22,7
300,74.84615384615384,38.69574843242552,13,23,8
301,80.61538461538461,35.475969031137474,13,24,11
302,93.15384615384616,23.715772595943086,13,25,11
303,73.3076923076923,34.43250837705691,13,26,17
304,88.0,28.673225248545833,13,27,8
305,82.61538461538461,33.476831165032195,13,28,9
306,100.0,0.0,13,29,100
307,76.3076923076923,35.737040933386695,13,30,15
308,70.15384615384616,38.094712239255934,13,31,10
309,89.92307692307692,25.511570643266765,13,32,10
310,82.46153846153847,32.71230157840033,13,33,10
311,93.07692307692308,23.982241950953686,13,34,10
312,93.07692307692308,23.982241950953686,13,35,10
313,100.0,0.0,13,36,100
314,33.53846153846154,44.53108747245333,13,1,1
315,37.30769230769231,43.315274647074325,13,2,2
316,38.69230769230769,42.58635501115463,13,3,1
317,37.15384615384615,42.84290831513902,13,4,2
318,36.61538461538461,43.112622569870084,13,5,1
319,35.46153846153846,43.07527469373618,13,6,3
320,41.30769230769231,41.04478719902222,13,7,4
321,77.23076923076923,41.57135449793403,13,8,1
322,39.69230769230769,42.55021398370602,13,9,4
323,66.6923076923077,42.89053080967983,13,10,4
324,71.38461538461539,42.96606614802764,13,11,5
325,77.15384615384616,37.04435211565509,13,12,6
326,65.61538461538461,43.58817493406715,13,13,5
327,80.6923076923077,35.635731021599476,13,14,5
328,83.53846153846153,31.1833668301533,13,15,6
329,92.76923076923077,25.04811937099607,13,16,6
330,86.07692307692308,32.657809852754944,13,17,8
331,88.07692307692308,28.61538461538462,13,18,7
332,59.15384615384615,39.46926000328738,13,19,7
333,92.84615384615384,24.781650015985473,13,20,7
334,68.84615384615384,40.00931844121038,13,21,9
335,68.38461538461539,40.60227061012998,13,22,8
336,75.0,34.051996439833914,13,23,8
337,92.92307692307692,24.515180660974874,13,24,8
338,88.61538461538461,27.616991596697687,13,25,8
339,100.0,0.0,13,26,100
340,93.0,24.24871130596428,13,27,9
341,66.53846153846153,42.33859011608382,13,28,11
342,86.3076923076923,32.11370331849633,13,29,10
343,84.0,30.298514815086232,13,30,10
344,100.0,0.0,13,31,100
345,100.0,0.0,13,32,100
346,39.61538461538461,47.75504558366817,13,1,1
347,40.92307692307692,46.814628776223586,13,2,1
348,42.0,46.03510366264824,13,3,2
349,47.15384615384615,43.48447318623078,13,4,2
350,50.23076923076923,42.72299659281664,13,5,2
351,50.76923076923077,41.624981120169146,13,6,3
352,48.53846153846154,43.20722052302652,13,7,3
353,47.61538461538461,42.51612990119336,13,8,4
354,51.53846153846154,41.248991380891106,13,9,5
355,100.0,0.0,13,10,100
356,64.38461538461539,45.05985499914951,13,11,5
357,85.84615384615384,33.27703332248178,13,12,2
358,67.6923076923077,41.70295067108029,13,13,6
359,79.07692307692308,38.21087549268088,13,14,8
360,57.23076923076923,41.726497477214366,13,15,5
361,55.53846153846154,37.71271033365355,13,16,6
362,92.76923076923077,25.04811937099607,13,17,6
363,92.84615384615384,24.781650015985473,13,18,7
364,86.07692307692308,32.657809852754944,13,19,8
365,100.0,0.0,13,20,100
366,86.6923076923077,31.28377464777896,13,21,8
367,81.6923076923077,34.275769901883514,13,22,9
368,58.15384615384615,40.65208132403963,13,23,9
369,93.0,24.24871130596428,13,24,9
370,91.23076923076923,24.51107707564651,13,25,9
371,57.69230769230769,40.096776420180475,13,26,10
372,66.61538461538461,42.30027907079876,13,27,10
373,69.53846153846153,40.06075268046575,13,28,10
374,79.92307692307692,36.67416096981956,13,29,10
375,40.46153846153846,47.24667735100596,13,1,1
376,45.76923076923077,44.115501978249085,13,2,1
377,49.0,43.25950318004838,13,3,2
378,41.69230769230769,46.15256408475734,13,4,2
379,45.15384615384615,43.734946691749585,13,5,1
380,45.76923076923077,44.05093877660942,13,6,2
381,50.46153846153846,43.370701533169715,13,7,3
382,51.0,45.514156715668825,13,8,5
383,54.84615384615385,43.99098885671606,13,9,2
384,44.76923076923077,43.9792850645949,13,10,3
385,45.92307692307692,43.6902762257964,13,11,4
386,77.38461538461539,35.81692436552749,13,12,8
387,73.61538461538461,39.759930470335554,13,13,6
